Model / Dataset Split,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro
GCN Validation,0.7211651397697909,0.7076671791345566,0.7211651397697909,0.7063136064633241,0.5974405752155875,0.4783495778084109,0.5025858946522954
GCN Test,0.7113552661358352,0.7045062557334023,0.7113552661358352,0.6965701714012501,0.5974558464310314,0.4641557378619991,0.4890489736774118
GraphSAGE Validation,0.7230108392899091,0.7097266876398299,0.7230108392899091,0.7096313749530696,0.5855281370621513,0.48001193246414064,0.5030372491256992
GraphSAGE Test,0.7117256136452482,0.7061776841524542,0.7117256136452482,0.6994486288267941,0.551375200824717,0.4673629318547109,0.48544378403578053
