Model / Dataset Split,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro
GCN Validation,0.7212322561159771,0.7079147703700885,0.7212322561159771,0.7063899450708284,0.5980681737740658,0.4784190148539159,0.502753739545277
GCN Test,0.7110672180729585,0.7043192699344027,0.7110672180729585,0.6962605211513255,0.5976240669781708,0.46384449214085616,0.4887075923747536
GraphSAGE Validation,0.7228430484244438,0.7102556747920519,0.7228430484244438,0.7100423896682297,0.5840228775586704,0.4802906787242044,0.5029968801842273
GraphSAGE Test,0.7140917227331646,0.7100229597429007,0.7140917227331646,0.7021161968849954,0.5779300862691251,0.46885903052970584,0.48713818665098774
